Year,Conference,Place,School
2022,American Midwest Conference/Sooner Athletic Conference,6,Central Baptist (Ark.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,7,Central Christian (Kan.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,8,Lyon (Ark.) - Mens
2022,American Midwest Conference/Sooner Athletic Conference,9,Jarvis Christian (Texas) - Mens
2022,Appalachian Athletic Conference,1,Life (Ga.) - Mens
2022,Appalachian Athletic Conference,2,Southeastern (Fla.) - Mens
2022,Appalachian Athletic Conference,3,Reinhardt (Ga.) - Mens
2022,Appalachian Athletic Conference,4,St. Thomas (Fla.) - Mens
2022,Appalachian Athletic Conference,5,Montreat (N.C.) - Mens
2022,Appalachian Athletic Conference,6,Keiser (Fla.) - Mens
2022,Appalachian Athletic Conference,7,Truett-McConnell (Ga.) - Mens
2022,Appalachian Athletic Conference,8,Brewton-Parker (Ga.) - Mens
2022,Appalachian Athletic Conference,8,Pikeville (Ky.) - Mens
2022,Appalachian Athletic Conference,9,WVU Tech (W.Va.) - Mens
2022,Cascade Collegiate Conference,1,Menlo (Calif.) - Mens
2022,Cascade Collegiate Conference,2,Eastern Oregon University - Mens
2022,Cascade Collegiate Conference,3,Providence (Mont.) - Mens
2022,Cascade Collegiate Conference,4,Embry-Riddle (Ariz.) - Mens
2022,Cascade Collegiate Conference,5,Southern Oregon University - Mens
2022,Cascade Collegiate Conference,6,Vanguard (Calif.) - Mens
2022,Cascade Collegiate Conference,7,Montana State-Northern - Mens
2022,Cascade Collegiate Conference,8,Corban (Ore.) - Mens
2022,Cascade Collegiate Conference,9,Arizona Christian University - Mens
2022,Cascade Collegiate Conference,10,Simpson (Calif.) - Mens
2022,Great Plains Athletic Conference,1,Doane (Neb.) - Mens
2022,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2022,Great Plains Athletic Conference,3,Briar Cliff (Iowa) - Mens
2022,Great Plains Athletic Conference,4,Dakota Wesleyan (S.D.) - Mens
2022,Great Plains Athletic Conference,5,Concordia (Neb.) - Mens
2022,Great Plains Athletic Conference,6,Northwestern (Iowa) - Mens
2022,Great Plains Athletic Conference,7,Midland (Neb.) - Mens
2022,Great Plains Athletic Conference,9,Hastings (Neb.) - Mens
2022,Great Plains Athletic Conference,10,Waldorf (Iowa) - Mens
2022,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2022,Heart of America Athletic Conference,2,Missouri Valley College
2022,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2022,Heart of America Athletic Conference,3,Baker (Kan.) - Mens
2022,Heart of America Athletic Conference,4,Dickinson State (N.D.) - Mens
2022,Heart of America Athletic Conference,5,Graceland (Iowa) - Mens
2022,Heart of America Athletic Conference,6,William Penn (Iowa) - Mens
2022,Heart of America Athletic Conference,7,Central Methodist (Mo.) - Mens
2022,Heart of America Athletic Conference,8,St. Ambrose (Iowa) - Mens
2022,Heart of America Athletic Conference,9,Benedictine (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,1,Ottawa (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,2,Avila (Mo.) - Mens
2022,Kansas Collegiate Athletic Conference,3,Saint Mary (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2022,Kansas Collegiate Athletic Conference,5,Friends (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,6,Bethany (Kan.) - Mens
2022,Kansas Collegiate Athletic Conference,7,York (Neb.) - Mens
2022,Kansas Collegiate Athletic Conference,8,Jamestown (N.D.) - Mens
2022,Mid-South Conference,1,Campbellsville (Ky.) - Mens
2022,Mid-South Conference,2,Lindsey Wilson (Ky.) - Mens
2022,Mid-South Conference,3,Cumberland (Tenn.) - Mens
2022,Mid-South Conference,4,Cumberlands (Ky.) - Mens
2022,Mid-South Conference,5,Midway (Ky.) - Mens
